Software Name,Amit's Notes,Version ,Software Classification,Operating system,Self service,Licenses Required,GITSC Ticket number,Remarks,Category,Application Lead,Software Manufacturer,Packaged,OSD,Core O/S - Technical,Vulnerable,Approved date,Scanned date,Additional action,Action Details,GIS Reco Action,Comment ,Resource,Sarah's comment,,Tanium Name,Tanium Vendor,Tanium version,Defender Name,Defender Vendor,Dedender Lastest version,,WS1 Hub,WCS Managed Group Name,Comment,Exception based,Assignment Mode,Pushed Globally,Visible in HUB (Self Service),OLD License Required,To be checked,,Software name + Version,Publisher updated,Publisher on Oomnitza list review,Feedback,Software name to be loaded in Oomnitza,Version to be loaded in Oomintza,Final Software name,Final Version
7Zip,,7,Green List,Windows OS,,Centrally management,42366625,,W&CS E2E,Ganesh Sankararaman,7Zip,No,No,,,8/8/2023,,,,,,,,,p7zip,SUSE/Fedora,16.02,N/A,,,,,,,,,,,Global,,,7Zip 7 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Lenovo Commercial Vantage,,3.12,Green List,Windows OS,,Centrally management,42392254,,W&CS E2E,Jim Arcure,Lenovo,Yes,No,,,4/19/2023,,,,,,,,,Lenovo Vantage Service,Lenovo Group Ltd.,3.13.25.0,N/A,,,,Yes,NA,,,Auto,Yes,No,Global,,,Lenovo Commercial Vantage 3.12 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Lenovo Dock Manager,,Auto Update,Green List,Windows OS,,Centrally management,42293302,Set to auto update,W&CS E2E,Ganesh Sankararaman,Lenovo,Yes,Yes,Yes,,3/28/2022,,,,,,,,,Lenovo Dock Manager,Lenovo,1.3.0.2,N/A,,,,Yes,NA,Hiden from the Hub,,OnDemand,Yes,Yes,Global,,,Lenovo Dock Manager Auto Update Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
.Net Core,,v6.0.25 64bit,Green List,Windows OS,,Freeware,SR-404360,Open source,Supply Chain,Aditya Agarwal,Microsoft,WIP,No,,,1/31/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tricentis Tosca,,14.3.0.832,Grey List,Windows OS,,Locally management,42306709,"https://aodocs.altirnao.com/?locale=en_US&aodocs-domain=colpal.com#Menu_viewDoc/LibraryId_SCHp23iuZXMJff84vk/ViewId_SCHqt9i6GiSkVPFHre/DocumentId_SpbIBC4tLcAEZL7w5S/ViewParams_%7B%22searchInSubFolders%22:true,%22searchQuery%22:%221319%22%7D",Global Technology (R&D),Jack Weiss / Matt Rodman,Tricentis,Yes,No,,,,,,,,,,,,Tricentis Tosca,Tricentis GmbH,14.3.0.832,Tosca,Tricentis,14.3.0.832,,,,Cat lead are working on that,,,,,Check before installation,,,Tricentis Tosca 14.3.0.832 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
.Net Desktop Runtime,,7.0.17,Green List,Windows OS,,Freeware,SR-527702,Open source,Marketing,Christopher Bardi,Microsoft,WIP,,,,4/29/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acSELerator Diagram Builder Software,,SEL-5035,Grey List,Windows OS,,Locally management,42319735,,Supply Chain,Simon Kendall,Schweitzer Engineering,No,No,,,4/19/2023,,,,,,,,,AcSELerator Diagram Builder,"Schweitzer Engineering Laboratories, Inc.",3.4.0.97,N/A,,,,,,,,,,,License not required ,,,acSELerator Diagram Builder Software SEL-5035 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
.Net Core,,3.1,Green List,Windows OS,,Freeware,42050381,Open source,Supply Chain,Aditya Agarwal,Microsoft,No,No,,Pending,4/19/2023,,,,no review comment,,,,,,,,,,,,,,,,,,,Check before installation,Yes,,.Net Core 3.1 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
.Net Core,,8.0,Green List,Mac OS,,Freeware,SR-481456,Open source,Supply Chain,Aditya Agarwal,Microsoft,No,,,,3/12/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1099 PRO FOR 2021 Enterprise Edition,,2021,Grey List,Windows OS,,Locally management,42299964,,Finance,Nirmala Iyer,1099 Pro,No,No,,,7/19/2022,,,,,,,,,,,,,,,,,,,,,,,Check before installation,,,1099 PRO FOR 2021 Enterprise Edition 2021 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1099 PRO Enterprise Edition,,2023,Grey List,Windows OS,,Locally management,SR-424604,,Finance,Nirmala Iyer,1099 Pro,No,,,,3/6/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1C,,8.3,Grey List,Windows OS,,Locally management,, Wayne Lawrence,Finance,Francisco Galindo,1C,No,No,,Pending,1/10/2023,,,,no review comment,,,,,,,,,,,,,,,,,,,,,,1C 8.3 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
32-bit Font Pack and Spelling Dictionary for Acrobat Reader DC,,2021.001.20135,Grey List,Windows OS,,Locally management,42242752,,Finance,Anne-Marie Fitzpatrick,Adobe,No,No,,No,4/19/2023,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,32-bit Font Pack and Spelling Dictionary for Acrobat Reader DC 2021.001.20135 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3SKey Token,,,Grey List,Windows OS,,Locally management,, Anne-Marie Fitzpatrick,Finance,Anne-Marie Fitzpatrick,SWIFT,No,No,,Pending,1/4/2018,,,,no review comment,,,Based on Remark values,,,,,,,,,,,,,,,,,,,3SKey Token  Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
64-bit oracle client library,,19.3,Grey List,Windows OS,,Locally management,41898535,Software installation file drive is documented in the ticket ,Global Technology (R&D),Frank Peake,oracle,No,No,,Pending,7/16/2019,,,,no review comment,,,,,,,,,,,,,,,,,,,,,,64-bit oracle client library 19.3 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ABBYY Lingvo x5,,15.0.826,Grey List,Windows OS,,Locally management,, Patrick Curran,,Aditya Agarwal,ABBYY,No,No,,Pending,9/11/2017,,,,no review comment,,,Based on Remark values,,,,,,,,,,,,,,,,,,,ABBYY Lingvo x5 15.0.826 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AC Nielsen Advisor,,7.6.6,Grey List,Windows OS,,Locally management,, ,Marketing,Christopher Bardi,ACNielsen,No,No,,Pending,2/23/2022,,,,no review comment,,,,,,,,,,,,,,,,,,,,,,AC Nielsen Advisor 7.6.6 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
